feature,shap_importance
Interest Rate (%),0.058091339544379485
Interest Rate (%)_sum_Unemployment Rate (%),0.05360774039628893
Unemployment Rate (%)_sum_GDP Growth Rate (%),0.047688962706183
Unemployment Rate (%),0.030141926543879562
Stock Index Value_ratio_GDP Growth Rate (%),0.0182171606421675
Unemployment Rate (%)_multiply_GDP Growth Rate (%),0.016453138301637
GDP Growth Rate (%)_ratio_Unemployment Rate (%),0.012922507844740977
GDP Growth Rate (%)_ratio_Stock Index Value,0.010482868119417139
Stock Index Value_ratio_Interest Rate (%),0.008962319674249942
Country_USA,0.0
Interest Rate (%)_ratio_Stock Index Value,0.0
Interest Rate (%)_multiply_GDP Growth Rate (%),0.0
Stock Index Value_multiply_GDP Growth Rate (%),0.0
GDP Growth Rate (%),0.0
Country_Japan,0.0
Country_India,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Country_Australia,0.0
Stock Index Value,0.0
Country_UK,0.0
