feature,shap_importance
Interest Rate (%),0.0580969671585334
Interest Rate (%)_sum_Unemployment Rate (%),0.05360774039628892
GDP Growth Rate (%)_ratio_Unemployment Rate (%),0.03662792680086244
Unemployment Rate (%),0.03014181405429918
Unemployment Rate (%)_sum_GDP Growth Rate (%),0.022411053146389998
Stock Index Value_ratio_GDP Growth Rate (%),0.0184768486929645
Unemployment Rate (%)_multiply_GDP Growth Rate (%),0.01622042453448227
GDP Growth Rate (%)_ratio_Stock Index Value,0.010751032723106641
Stock Index Value_ratio_Interest Rate (%),0.008962319674249942
Country_USA,0.0
Interest Rate (%)_ratio_Stock Index Value,0.0
Interest Rate (%)_multiply_GDP Growth Rate (%),0.0
Stock Index Value_multiply_GDP Growth Rate (%),0.0
GDP Growth Rate (%),0.0
Country_Japan,0.0
Country_India,0.0
Country_Germany,0.0
Country_France,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Country_Australia,0.0
Stock Index Value,0.0
Country_UK,0.0
